neighbourhood,OBJECTID,Hood_ID,assault,auto_theft,break_and_enter,robbery,theft_over,homicide,shooting,violent_crime,theft,pop,pop_density,n_children,n_youth,n_seniors,perc_low_income,n_lat_american,Immigrants,n_aboriginal_identity,n_visible_minority,south_asian,Chinese,Black,Filipino,Arab,southeast_asian,west_asian,Korean,Japanese,not_visible_minority,unemp_rate,n_female,n_postsecondary,n_asian,perc_children,perc_youth,perc_seniors,perc_lat_american,perc_immigrants,perc_aboriginal,perc_visible_minority,perc_south_asian,perc_chinese,perc_black,perc_Filipino,perc_Arab,perc_southeast_asian,perc_west_asian,perc_Korean,perc_Japanese,perc_not_visible_minority,perc_female,perc_postsecondary,perc_asian
Dorset Park,64,126,196,43,71,58,12,0,10,206,113,25003,4146,4250,3155,3780,17,270,14685,225,18940,7245,2745,2205,3430,810,265,795,25,65,5440,9.7,13300,9150,14570,16.997960244770628,12.618485781706196,15.118185817701876,1.079870415550134,58.7329520457545,0.899892012958445,75.7509098908131,28.97652281726193,10.978682558093029,8.818941726992762,13.718353797544294,3.239611246650402,1.0598728152621686,3.1796184457865055,0.09998800143982721,0.25996880374355075,21.757389113306402,53.19361676598808,36.59560852697676,58.2730072391313
Dovercourt-Wallace Emerson-Junction,66,093,264,30,78,42,11,0,1,265,83,36625,9819,4480,3925,4515,17,1510,14395,395,12275,2105,2825,2110,610,180,1000,210,435,245,23935,7.2,18565,16020,7430,12.2320819112628,10.716723549488055,12.32764505119454,4.122866894197952,39.303754266211605,1.0784982935153584,33.515358361774744,5.747440273037543,7.713310580204778,5.761092150170648,1.665529010238908,0.49146757679180886,2.7303754266211606,0.5733788395904437,1.1877133105802047,0.6689419795221843,65.35153583617748,50.689419795221845,43.74061433447099,20.286689419795223
Downsview-Roding-CFB,92,026,359,87,52,48,11,1,8,368,146,35052,2337,5725,4340,5535,15.9,3605,19515,245,20070,1380,780,5455,4535,255,2065,510,130,50,14945,7.9,18215,10310,9450,16.33287686865229,12.381604473353875,15.79082505991099,10.284719844802009,55.67442656624444,0.698961542850622,57.25778842862034,3.937007874015748,2.2252653200958576,15.562592719388338,12.937920803377839,0.7274905854159535,5.8912472897409565,1.454981170831907,0.3708775533493096,0.14264521282665754,42.63665411388794,51.96565103275134,29.41344288485678,26.959945224238275
Dufferin Grove,124,083,85,7,26,19,3,0,2,87,29,11785,8540,1285,1065,1515,18.1,490,4395,120,3630,665,845,595,170,90,235,45,120,60,8080,7.5,5940,5765,2140,10.903691132795927,9.03691132795927,12.855324565125159,4.1578277471361895,37.29316928298685,1.0182435299109036,30.801866779804836,5.642766228256258,7.170131523122613,5.04879083580823,1.4425116673737801,0.7636826474331778,1.9940602460755197,0.3818413237165889,1.0182435299109036,0.5091217649554518,68.56173101400086,50.40305473058974,48.91811624946967,18.158676283411115
East End-Danforth,105,062,170,22,77,40,11,0,2,172,73,21381,8038,3735,2210,2650,16.6,275,5920,450,6475,1700,1325,1285,685,145,95,155,190,165,14535,8.2,11105,10440,4315,17.46878069313877,10.336279874655068,12.394181750152004,1.2861886721855853,27.688134324867875,2.1046723726673213,30.283896917824237,7.950984518965437,6.197090875076002,6.010008886394463,3.203779056171367,0.6781722089705814,0.44431972311865675,0.7249427061409663,0.8886394462373135,0.7717132033113512,67.98091763715448,51.93863710771246,48.82839904588186,20.181469529021093
Edenbridge-Humber Valley,65,009,29,28,46,4,2,0,3,32,34,15535,2840,2120,1805,3290,8.2,675,5950,90,3230,390,370,795,200,100,55,55,270,100,11980,6.1,8245,7570,1440,13.64660444158352,11.618925008046347,21.177985194721597,4.345027357579659,38.30061152236885,0.5793369810106211,20.791760540714517,2.510460251046025,2.3817186997103312,5.11747666559382,1.2874155133569358,0.6437077566784679,0.3540392661731574,0.3540392661731574,1.7380109430318635,0.6437077566784679,77.11618925008045,53.07370453813969,48.72867718056003,9.269391696169938
Eglinton East,78,138,209,22,65,45,6,0,3,212,73,22776,7051,4180,3130,3505,20.4,400,13000,230,17375,6490,895,4130,2970,240,195,555,40,65,4880,10.8,12140,7485,11210,18.352651914295752,13.742536002809974,15.389005971197752,1.7562346329469618,57.077625570776256,1.0098349139445029,76.28644186863364,28.494906919564457,3.9295749912188267,18.13312258517738,13.040042149631189,1.053740779768177,0.8561643835616438,2.4367755532139093,0.17562346329469616,0.28538812785388123,21.426062521952932,53.30172110994029,32.863540569020024,49.2184755883386
Elms-Old Rexdale,79,005,69,16,10,20,0,0,3,72,36,9456,3306,1805,1440,1275,17.9,765,4725,30,6365,840,105,2930,465,40,370,285,105,15,3085,10,4960,2680,2185,19.088409475465312,15.228426395939088,13.483502538071065,8.09010152284264,49.96827411167513,0.31725888324873097,67.31175972927242,8.883248730964468,1.1104060913705585,30.985617597292723,4.917512690355331,0.4230118443316413,3.9128595600676817,3.013959390862944,1.1104060913705585,0.15862944162436549,32.62478849407783,52.45346869712352,28.341793570219963,23.107021996615906
Englemount-Lawrence,82,032,133,23,57,39,7,0,14,147,69,22372,6466,4805,3030,3725,17.8,550,9785,90,8855,365,390,2305,3950,90,215,180,175,25,13030,8.9,12515,9240,5300,21.477740032183085,13.543715358483817,16.65027713212945,2.4584301805828717,43.737707849097085,0.40228857500446985,39.58072590738423,1.6315036652959056,1.743250491686036,10.303057393170034,17.655998569640623,0.40228857500446985,0.9610227069551225,0.8045771500089397,0.7822277847309137,0.11174682639013053,58.24244591453602,55.940461290899336,41.301627033792236,23.69032719470767
Eringate-Centennial-West Deane,83,011,63,30,28,14,4,0,3,66,48,18588,2171,2635,2405,3765,7.5,400,8190,135,5130,1275,790,975,445,145,110,125,390,100,13395,7.4,9670,8375,3235,14.17581235205509,12.93845491715085,20.25500322788896,2.1519259737465033,44.06068431245965,0.7262750161394448,27.5984506132989,6.859264041316979,4.250053798149344,5.2453195610071015,2.3940176457929847,0.7800731654831073,0.5917796427802884,0.6724768667957822,2.0981278244028405,0.5379814934366258,72.06262104583602,52.02281041532171,45.055950075317405,17.403701312674844
