nta_id,nta_name,pop_white_pct_est,pop_black_pct_est,pop_hisp_pct_est,pop_asian_pct_est,pop_ba_above_pct_est,pop_inpov_pct_est,n_arrest,n_violent_arrest,n_theft_arrest,n_crime,n_violent_crime,n_theft_crime,pop_total_est
BK96,Rugby-Remsen Village,0.014427816112554889,0.8898109149565373,0.07493503002061117,0.009068912985034502,0.2311045380244415,0.18121606948968513,1451,312,124,3479,732,880,55795
BK99,park-cemetery-etc-Brooklyn,NA,NA,NA,NA,NA,NA,541,33,78,944,117,317,NA
BX01,Claremont-Bathgate,0.010542168674698794,0.3998493975903614,0.5792336010709505,0.0012271307452030344,0.10957572035416346,0.4816991028690991,2546,738,325,2976,621,679,35856
BX03,Eastchester-Edenwald-Baychester,0.03130262770990938,0.6654815686064851,0.2379106632093881,0.03440348579218905,0.23484282989134941,0.16426692697741263,2285,694,560,2465,472,687,37409
BX05,Bedford Park-Fordham North,0.05176894556290932,0.15962091548563706,0.7329256037977754,0.03775252087736928,0.1425994306170195,0.3355426099696515,2482,335,513,4065,675,1202,57718
BX06,Belmont,0.1815938646215405,0.1521840613537846,0.6330443481160387,0.01800600200066689,0.15543599501345057,0.41911277863606267,1080,202,153,2215,453,718,29990
BX07,Bronxdale,0.1292965365123546,0.2731139878686028,0.5448887955255626,0.030486043641519838,0.1817720530835285,0.2733015272262054,1099,211,153,2144,407,531,38083
BX08,West Farms-Bronx River,0.02940277353194564,0.2565378095211628,0.6470555540116166,0.034432926659811576,0.09820205857666651,0.34720554143507526,769,216,95,1897,472,452,35983
BX09,Soundview-Castle Hill-Clason Point-Harding Park,0.02496824595897204,0.34202147095157726,0.6035877716492962,0.0143197675430202,0.16117615028586987,0.2938519711504797,3082,837,643,4576,865,1297,57473
BX10,Pelham Bay-Country Club-City Island,0.5106321002039033,0.0389600932129333,0.3831561316632683,0.05752985726769589,0.2857917837944469,0.12251109236918338,161,31,19,849,94,277,27464
BX13,Co-op City,0.057939469320066335,0.5933250414593698,0.3018242122719735,0.01281094527363184,0.26038789134438306,0.09838295299984888,755,131,283,2050,295,832,48240
BX14,East Concourse-Concourse Village,0.01641149569446781,0.3305394533580092,0.6101313837353359,0.021290589009039323,0.1565125534319265,0.36079545454545453,2870,513,446,4701,1028,1121,65381
BX17,East Tremont,0.014805200519171965,0.2874584772422289,0.6831511098400687,0.008139560463734959,0.11906916144909703,0.39777553083923156,1986,409,376,3848,804,983,45457
BX22,North Riverdale-Fieldston-Riverdale,0.6297421431412968,0.07761021301218762,0.2064301471917833,0.05949151929405808,0.5718828537723752,0.09272232753647078,184,27,21,742,61,322,27651
BX26,Highbridge,0.015840610011068748,0.3137621448776288,0.6617636207108597,0.003000860902717993,0.1417293389288237,0.3914056882144363,960,194,110,2580,513,712,40655
BX27,Hunts Point,0.009121370067014148,0.2556589724497394,0.7233060312732688,0.004430379746835443,0.1031232325771382,0.4054845170235711,3914,830,773,3196,545,894,26860
BX28,Van Cortlandt Village,0.0847908671924716,0.16335306708833908,0.686618971402125,0.04009101953448908,0.22969220771548413,0.2650820867577209,780,152,81,2046,354,591,51857
BX29,Spuyten Duyvil-Kingsbridge,0.45965144913809436,0.08909515691103113,0.38261665719517585,0.041516701395466316,0.499936604539115,0.11398674801548252,938,242,209,1804,183,787,31674
BX30,Kingsbridge Heights,0.033419023136246784,0.14858611825192802,0.7618629971268713,0.02743081808558899,0.16088681446907818,0.2737829803047194,1089,191,102,2016,415,508,33065
BX31,Allerton-Pelham Gardens,0.21309179195069566,0.3093037009369067,0.35658480405889126,0.09661655305506273,0.26151618847065017,0.12314232049296471,356,61,42,1114,145,337,32127
BX33,Longwood,0.011069347218869615,0.23862891823855994,0.7277837166798855,0.011655574330149316,0.1186191284663271,0.3697101550986034,1351,210,398,2488,522,660,28999
BX34,Melrose South-Mott Haven North,0.01978959076794735,0.32353895351531725,0.6388283820735042,0.004912638457616907,0.12464315869888626,0.4037301921189174,2878,514,725,4967,963,1474,43154
BX35,Morrisania-Melrose,0.012547695920164368,0.36945993542706196,0.5904754916348693,0.009123373446825164,0.13508420208500402,0.3520240767693712,2715,737,413,3815,779,1012,40884
BX36,University Heights-Morris Heights,0.007108052882516286,0.2825058069473795,0.6843814946122007,0.020311217450531795,0.1272877553430157,0.4196585709257304,1318,375,156,3228,771,787,57259
BX37,Van Nest-Morris Park-Westchester Square,0.24956510103037602,0.10644988625719257,0.5219791248494581,0.10578081091930952,0.22489094175006416,0.22181880458982703,776,119,165,1907,253,611,29892
BX39,Mott Haven-Port Morris,0.021147261841551166,0.26132889027225953,0.6997821191204204,0.004412545544427559,0.09108910891089109,0.45317120047309284,5003,1149,933,6592,1396,1639,54617
BX40,Fordham South,0.010645025295109613,0.2469435075885329,0.7194350758853288,0.007237211916807195,0.1071363276250838,0.45443564145379617,1531,261,520,2232,542,616,28464
BX41,Mount Hope,0.017179172542627425,0.28224757788318894,0.6643651215179209,0.017563780883134008,0.14671885511589505,0.3514374039725292,3218,923,721,3906,856,963,54601
BX43,Norwood,0.10024438387066453,0.13159131497321178,0.6474292696682019,0.10449760315819157,0.20061126044850314,0.3503458144526592,2385,677,461,2940,566,818,42556
BX44,Williamsbridge-Olinville,0.02572494101529797,0.6941015297967882,0.25023213334348127,0.013593119719917801,0.19053941908713692,0.23129220238645823,1893,382,411,4282,871,1307,65695
BX46,Parkchester,0.018608125223265028,0.3947325690903777,0.39421297048030396,0.16364108726009158,0.25674222739897856,0.15831357391106635,868,117,356,1570,254,597,30793
BX49,Pelham Parkway,0.3130765056972328,0.1423290830168204,0.42915762344004343,0.10010851871947911,0.3083070150253613,0.17278587927052091,1396,331,371,1604,210,554,29488
BX52,Schuylerville-Throgs Neck-Edgewater Park,0.3840438515727041,0.09665331991520887,0.46662955270539364,0.040618375693210286,0.2590516306872735,0.12388849368664415,1386,388,208,2408,339,614,46703
BX55,Soundview-Bruckner,0.028140920240437746,0.2548586215261867,0.6132779859295399,0.07167309091889269,0.12817369987742952,0.3321114971140958,1111,237,197,2401,539,702,37099
BX59,Westchester-Unionport,0.0414708886618999,0.17167177391896493,0.6161729656111679,0.12039496084439905,0.18961672112442302,0.24722318040703692,436,114,37,1411,277,430,29370
BX62,Woodlawn-Wakefield,0.1564806012042193,0.573815021051202,0.18810267553986146,0.053193897415002946,0.27149350030194197,0.1337318997067582,1046,217,162,2343,454,751,44178
BX63,West Concourse,0.019467053761211054,0.20783866452382188,0.7222769454093007,0.02662139042977863,0.146486852118035,0.3666535998954658,3651,790,1146,4307,765,1508,38578
BX75,Crotona Park East,0.009042408897730355,0.2856044850348133,0.6919703408988155,0.011031738855231033,0.15764434513082967,0.4158465236518663,1430,176,422,2099,396,623,22118
BX98,Rikers Island,0.07232492241262987,0.5757657536094994,0.3199298340304952,0.01686681959249764,0.021550162984425934,NA,35,2,5,1268,385,19,7411
BX99,park-cemetery-etc-Bronx,NA,NA,NA,NA,NA,NA,690,111,74,1600,243,480,NA
MN01,Marble Hill-Inwood,0.16047079890321017,0.08067374232899964,0.7216615992986514,0.018223871966574025,0.2950946620737536,0.23988022831477496,1895,228,484,2999,514,1067,53611
MN03,Central Harlem North-Polo Grounds,0.09662013648342291,0.5986052452904013,0.2531732971218799,0.02053005282115608,0.32585691863703103,0.28794418152575124,4114,828,615,6498,1220,1468,86897
MN04,Hamilton Heights,0.1767782812097101,0.2810623641654695,0.4650974324971452,0.034847312778575903,0.34517675865938885,0.24894397510004446,1730,285,443,3050,429,950,54294
MN06,Manhattanville,0.11909019086032684,0.2555615618113019,0.5612707389080627,0.042330242421722314,0.29140474264019417,0.304297086650273,1269,196,330,1762,263,527,24049
MN09,Morningside Heights,0.4710353521100262,0.1308912344076311,0.2117740023706045,0.15416455005550225,0.6508657815794945,0.21805104408352668,913,127,189,2293,273,986,53151
MN11,Central Harlem South,0.21223594283939112,0.49864088226157194,0.20347934141037588,0.05745184840012426,0.45560949298813375,0.2445136766204248,3449,429,1104,5585,719,2012,51504
MN12,Upper West Side,0.6599129857239872,0.06320102088790382,0.17017783449377244,0.08011880508354416,0.7422555079161794,0.10879118394174889,2838,384,1041,5864,498,2719,134001
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,0.616442792191811,0.06587997564798384,0.139259854146967,0.15138404942941153,0.7529826893256115,0.1329990763953028,4688,487,2032,7343,771,3835,77201
MN14,Lincoln Square,0.7006183889340928,0.03871440195280716,0.1054353132628153,0.12351505288852725,0.8178886522665044,0.08251270515704408,1180,83,616,2986,205,1766,61450
MN15,Clinton,0.5506940189719646,0.061606067648363724,0.203198614074747,0.15617011387404137,0.7025058202117807,0.14407910059071372,5335,441,2254,5319,726,1867,47333
MN17,Midtown-Midtown South,0.6014966920935614,0.04070713278623332,0.09547738693467336,0.22464842196594484,0.795393509035459,0.12294706286761897,8008,466,4780,11608,1045,7267,27661
MN19,Turtle Bay-East Midtown,0.751748946657127,0.013931950075522696,0.06351856268383814,0.1471301375308053,0.8277974471256871,0.05108023451931572,1625,184,693,3275,341,1665,50316
MN20,Murray Hill-Kips Bay,0.5934683753617197,0.042827614716825134,0.12978503513848696,0.1934270359652749,0.745452193039203,0.12397189856065799,1191,192,322,2542,329,1242,48380
MN21,Gramercy,0.712545322697607,0.03843364757070341,0.06841914430746918,0.15116026105873823,0.8073668013079438,0.08548184724976728,1879,239,1015,2173,238,887,27580
MN22,East Village,0.668505952241189,0.04580995092629552,0.12451572002160183,0.14175021719223274,0.7128594616114905,0.16231437451850278,1261,263,321,2661,345,1409,42589
MN23,West Village,0.8026876724048915,0.02194981634730274,0.06077502913366081,0.0836836748240917,0.8503277494537509,0.07132288124921295,3366,386,1121,5374,585,2679,67791
MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.6504681434117379,0.02454898378625257,0.06069878967800868,0.22036994747659283,0.7521545858659168,0.09191193951785459,3898,323,1209,5085,444,2546,43790
MN25,Battery Park City-Lower Manhattan,0.665821248184518,0.023194814766642823,0.07242418330406884,0.204136047343435,0.8471467193813773,0.07405428272437824,1151,115,562,2876,259,1515,46131
MN27,Chinatown,0.16825584708796387,0.06163828061638281,0.13671335569145787,0.6006444400604984,0.32953951890034366,0.26907016543069023,4033,550,982,3729,683,1301,45621
MN28,Lower East Side,0.2238039248621259,0.0979535847260715,0.3989250020996053,0.2491111671005851,0.3284305684655622,0.29980026443863056,2928,532,439,4477,786,1109,71442
MN31,Lenox Hill-Roosevelt Island,0.7029492321236428,0.03305047442042453,0.10272180377579966,0.1325442629365157,0.788613664823921,0.06917196972549611,619,81,117,1734,191,822,81784
MN32,Yorkville,0.7521593555900621,0.026907026397515528,0.10408579192546584,0.08892177795031056,0.8041231049744879,0.06672838453480157,443,93,131,1716,196,879,82432
MN33,East Harlem South,0.19736152081284825,0.23334972140281876,0.4413798754506719,0.10804654211733858,0.37987613237197265,0.28731983527796845,3248,605,687,4706,813,1174,61020
MN34,East Harlem North,0.07904780078236809,0.35721782272683905,0.49050663104665587,0.05039277422637789,0.2615789217357425,0.38260395277207393,6775,906,1515,7350,1229,1736,62886
MN35,Washington Heights North,0.26710110742413945,0.04769519849678167,0.6437585788723197,0.02369434560695105,0.3905907282798617,0.219207716155701,2077,385,345,2902,431,1059,75039
MN36,Washington Heights South,0.13440629624069825,0.10330037957581867,0.7137740987754927,0.03262850893182647,0.296298443433143,0.24628567704939397,3617,469,678,4298,696,1293,93262
MN40,Upper East Side-Carnegie Hill,0.8355945867137785,0.008370353853278674,0.07109655065950841,0.06250321606833502,0.8543342654334265,0.04509164899211974,1782,179,1085,3085,221,1908,58301
MN50,Stuyvesant Town-Cooper Village,0.713220278788955,0.049187605433721034,0.09193820474118795,0.11710911835212644,0.802389486260454,0.09899671490721833,40,11,6,228,21,106,22526
MN99,park-cemetery-etc-Manhattan,NA,NA,NA,NA,NA,NA,1235,163,102,1389,236,463,NA
QN01,South Jamaica,0.004524991878219706,0.6422935907550935,0.1739221237295215,0.07676242632385019,0.16505805515239477,0.1663175534143276,1338,222,86,2109,479,483,43094
QN02,Springfield Gardens North,0.01102049812651532,0.8757989861141724,0.07762104180442289,0.02248181617809125,0.24160693105048733,0.07743420319982182,1929,533,304,1443,254,338,27222
QN03,Springfield Gardens South-Brookville,0.026868437306979617,0.866451954469249,0.054619253507456104,0.02457425218388776,0.2524676769081051,0.11265243211387642,447,73,27,1092,184,319,22666
QN05,Rosedale,0.04106466674019338,0.8227271056211168,0.09120988198963273,0.022094775927355613,0.26359116908109265,0.0689235983201945,411,85,42,949,158,255,27201
QN06,Jamaica Estates-Holliswood,0.23049962714392244,0.24485458612975392,0.14381058911260253,0.33366890380313197,0.43744164332399627,0.10216110019646366,304,46,35,658,70,274,26820
QN07,Hollis,0.020478442536388263,0.6023692547867212,0.11497313926259241,0.18756600394875797,0.2263418551733369,0.10779233016112315,378,85,38,888,164,250,21779
QN08,St. Albans,0.012480725623582767,0.8719818594104308,0.06657596371882087,0.019646258503401362,0.23825222255249007,0.08521266436494528,1177,244,101,2246,498,609,55125
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,0.7800922589015424,0.06065302003748018,0.12018884243909471,0.02349718898659363,0.39934986172432196,0.07626136066125594,466,97,65,980,168,315,27748
QN12,Hammels-Arverne-Edgemere,0.15604694255713403,0.4655466337245213,0.29835701050030883,0.046596664607782584,0.20905923344947736,0.24905409551078841,2070,459,435,3056,636,728,40475
QN15,Far Rockaway-Bayswater,0.2773336253787464,0.41430292410469827,0.26652794509546235,0.03134012338918702,0.25093644182074254,0.2146186199840855,2031,536,295,3058,625,775,54786
QN17,Forest Hills,0.5022872930679168,0.02406187014516385,0.156668251919288,0.27650202685870867,0.579333676546297,0.10365256226217331,1128,282,271,2044,222,849,88314
QN18,Rego Park,0.4363976955430672,0.04121160711129961,0.16067578552998976,0.33927119782278303,0.4873923187365398,0.13125951091764873,320,42,190,949,87,502,28293
QN19,Glendale,0.5645270652051079,0.012317776019889252,0.3697027912758504,0.0438467623460278,0.2415250888976689,0.08993436686658368,405,92,76,1149,146,414,35396
QN20,Ridgewood,0.4080605537480911,0.015058761038443662,0.4807117721266848,0.08304893433370958,0.2576391505224961,0.14237590541116318,2102,383,556,3191,430,1110,75305
QN21,Middle Village,0.682256642740209,0.010603198589598288,0.19287243420224154,0.09981110691348696,0.3347963012597159,0.07755060419109774,262,54,65,931,104,389,39705
QN22,Flushing,0.07813948262786843,0.03982810437322697,0.1545937140128641,0.7051372075386906,0.21144205788722603,0.2523415191319246,2780,545,1125,3979,613,1810,71206
QN23,College Point,0.23495928531899754,0.023796347537354733,0.3924025614673097,0.32603367855166415,0.18612464303712414,0.138145334903936,348,79,117,942,112,348,25298
QN25,Corona,0.07417876496955911,0.156603331772262,0.6036161102562387,0.15277313173212015,0.171592881382276,0.19853923275905794,587,147,53,1505,337,453,59788
QN26,North Corona,0.011179358953452555,0.03589353336594735,0.8704498921925676,0.07539272707506658,0.07872458033921974,0.21452739977933064,1217,307,203,2619,599,882,55191
QN27,East Elmhurst,0.05272912612362154,0.21605967936243164,0.623575201556853,0.09674728940783987,0.15602252437851943,0.18499881319724662,401,100,51,1043,172,302,21582
QN28,Jackson Heights,0.15684530140986713,0.01888525731525712,0.5706867542112286,0.23527762198541782,0.2660197022008345,0.13510594828089428,3362,699,613,4912,844,1506,103414
QN29,Elmhurst,0.06172099712368169,0.018983700862895494,0.42034995206136144,0.47688159156279963,0.2512258341450529,0.18166271241554563,2582,492,999,3653,594,1809,83440
QN30,Maspeth,0.5369739800835207,0.010022486347574687,0.3010921940250562,0.13424349502088018,0.26934227215075196,0.0943126885767122,248,70,19,914,129,305,31130
QN31,Hunters Point-Sunnyside-West Maspeth,0.38425912225148706,0.019946139504601817,0.3289633334319789,0.23917611198248054,0.4747758898765988,0.12180204370851049,1720,361,348,3433,453,1220,67582
QN33,Cambria Heights,0.011643137825644011,0.9050599136467278,0.05622665308300587,0.0031048367535050697,0.33243633499606196,0.04387586341083763,283,51,17,628,106,198,20613
QN34,Queens Village,0.06325959367945824,0.47711060948081263,0.17731828442437922,0.15349887133182843,0.22283310952899743,0.08830358438543028,1994,512,333,2140,421,621,55375
